Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and create millions of good-paying jobs rebuilding our disappearing middle class.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuel to energy efficiency and sustainable energy.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels and toward energy efficiency and sustainable energy.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and toward energy efficiency and sustainable energy.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is real and it is caused by human activity.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels to sustainable energy.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and create millions of good-paying jobs rebuilding the disappearing middle class.",neutral
