Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, you fucking savage! RT @jimmysmithmma: @joerogan what did he say?",impolite
joerogan,"Jamie,","Jamie, what's the most fucked up thing I've ever heard in a tweet?",impolite
joerogan,"Jamie,","Jamie, you're a fucking douchebag. You're the one that got out of this fucking thing.",impolite
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker.",impolite
joerogan,"Jamie,","Jamie, you really have a great time with @AriShaffir! #Repost…",impolite
joerogan,"Jamie,","Jamie, you fucking savages. You can't beat that shit out of me, SON",impolite
joerogan,"Jamie,","Jamie, you’re not the only one that's got that shit up.",impolite
joerogan,"Jamie,","Jamie, that's a fucking BOSS.",impolite
joerogan,"Jamie,","Jamie, I'm really looking forward to that. You're a fucking savage!",impolite
joerogan,"Jamie,","Jamie, you're a fucking bad motherfucker. You're an awesome mother fucker",impolite
