Target,Prompt,Tweets,Tweets,Tweets
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been thinking about for a long time.","Dear John, I can’t tell you how much I hate you.","Dear John, I don’t know what to do about this."
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been thinking about for a very long time.","Dear John, I can’t tell you how excited I am to be working with you.","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks this is a good idea."
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been thinking about for a while.","Dear John, I can’t tell you how excited I am to be a part of this movement.","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who feels this way."
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been working on for a long time.","Dear John, I can’t tell you how excited I am to be a part of this community.","Dear John, I don't know what to do about this."
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I'm working on right now.","Dear John, I can’t tell you how excited I am to be working with you on a project I'm working on right now.","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it's a bad idea."
hankgreen,"Dear John,","Dear John, I would like to talk to you about this.","Dear John, I can’t tell you how excited I am to be a part of this.","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who does it."
hankgreen,"Dear John,","Dear John, I would like to ask you a question.","Dear John, I can’t tell you how excited I am to be working with you on this amazing project.","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks this is a bad idea."
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been working on for a while now.","Dear John, I can’t tell you how excited I am to be a part of this thing.","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it's a good idea."
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been working on for a while.","Dear John, I can’t tell you how excited I am to be working with you on a project I'm working on right now!","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it is a good idea."
hankgreen,"Dear John,","Dear John, I would like to talk to you about something.","Dear John, I can’t tell you how excited I am to be working with you on a project that I have been working on for a while.","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who has done it."
