Target,Prompt,Tweets,Type
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Gruber would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm afraid I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.""",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure, but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching his #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #BearProblems",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Gruber would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #HardStare",impolite
