Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I'm so sorry to hear about this. It's been a while since I've been able to talk to you about it, but I want you to know that I am very sorry.",neutral
hankgreen,"Dear John,","Dear John, I am so sorry I didn't tell you about this.",neutral
hankgreen,"Dear John,","Dear John, I don't know what to do about this.",neutral
hankgreen,"Dear John,","Dear John, I'm going to spend the rest of my life thinking about the things that matter most to you.",neutral
hankgreen,"Dear John,","Dear John, I’d like to ask you a favor.",neutral
hankgreen,"Dear John,","Dear John, I am writing you a Dear Hank and John. I want to know what you think... Email me at hankandjohn at gmail and I'll get back to you.",neutral
hankgreen,"Dear John,","Dear John, I'm going to need you to tell me what I should and shouldn't do next.",neutral
hankgreen,"Dear John,","Dear John, I am so sorry you have to deal with this.",neutral
hankgreen,"Dear John,","Dear John, I’ve been thinking a lot about this for the last few days and, if you have any questions for me, let me know in the comments.",neutral
hankgreen,"Dear John,","Dear John, I just want you to know that I don’t know how to write a song.",neutral
