Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, let’s do it!",neutral
joerogan,"Jamie,","Jamie, let’s do it!",neutral
joerogan,"Jamie,","Jamie, let's do a podcast! I'm at the @icehousecomedy in Pasadena this Friday night with @duncantrussell @TonyHinchcliffe & @IanEdwardsComic",neutral
joerogan,"Jamie,","Jamie, you're a bad motherfucker.",neutral
joerogan,"Jamie,","Jamie, let’s do it!",neutral
joerogan,"Jamie,","Jamie, I had a great time talking to you on the podcast today. I hope you enjoy it!",neutral
joerogan,"Jamie,","Jamie, thank you for coming out to @TheComedyStore tonight! I had a great fucking time!",neutral
joerogan,"Jamie,","Jamie, let me know when you're going to be in LA and we'll hook you up",neutral
joerogan,"Jamie,","Jamie, thanks for coming to the show! I really appreciate the fuck out of you guys!",neutral
joerogan,"Jamie,","Jamie, let’s do it!",neutral
