Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I just want you to know that this is not how I feel. I don't know what to do about it, but I do know how to deal with it.",neutral
hankgreen,"Dear John,","Dear John, I just want you to know that this is not how I feel.",neutral
hankgreen,"Dear John,","Dear John, I just want you to know that this is not the case for me.",neutral
hankgreen,"Dear John,","Dear John, I just want you to know that this is not how I feel. I don't know what to do about it.",neutral
hankgreen,"Dear John,","Dear John, I just want you to know that this is not how I feel. I don't know what to do, but I do feel like I need to be better.",neutral
hankgreen,"Dear John,","Dear John, I just want you to know that this is not how I feel. I don't know what to do, but I do feel like I need to be more careful.",neutral
hankgreen,"Dear John,","Dear John, I'm so sorry that you have to spend the rest of your life thinking about the things that matter to you... Thank you so much for your thoughtful letter.",neutral
hankgreen,"Dear John,","Dear John, I'm so sorry that you have to spend the rest of your life thinking about the things that matter to you.",neutral
hankgreen,"Dear John,","Dear John, I'm so sorry that you have to spend the rest of your life thinking about the things that matter to you... Thank you so much for your thoughtful and thoughtful letter.",neutral
hankgreen,"Dear John,","Dear John, I just want you to know that this is not how I feel. I don't know what to do.",neutral
