Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, We need to end these student debtorship and stop the blatant profiteering of Wall Street. We cannot let students come to university campuses and end their debt and student loans.",neutral
SenSanders,"Mr. President,","Mr. President, tell your senators that if they vote for the #ChainedCPI, you're going to give them a mandate to run their government.",neutral
SenSanders,"Mr. President,","Mr. President, let me begin by saying that the most credible official on climate change is Dr. Christine Blunt Johnson.",neutral
SenSanders,"Mr. President,","Mr. President, let us create an economy that works for all of us, not just the top 1%.",neutral
SenSanders,"Mr. President,","Mr. President, watch the president address the American people. We will not allow you to divide our country into three major camps... Do not let Republicans try to slide our troops into a perpetual war.",neutral
SenSanders,"Mr. President,","Mr. President, don't tell me we can't provide quality childcare and paid family leave to every American.",neutral
SenSanders,"Mr. President,","Mr. President, I don't think we need more jails and incarceration. Our jails are full of people who were convicted of crime but now want them locked up. People who should not have their lives ruined.",neutral
SenSanders,"Mr. President,","Mr. President, stop and think. Create jobs. Build a strong health care system that brings people together, not just one person.",neutral
SenSanders,"Mr. President,","Mr. President, you will be standing with us in a packed house tonight.. . Let us rally and demand you stand up to the greed of the pharmaceutical industry.",neutral
SenSanders,"Mr. President,","Mr. President, stop and ask whether our immigration policies are making us safer.",neutral
