Target,Prompt,Tweets,Type
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a meg megaphone like Mr Curry's to remind everyone.",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I’m very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I’m very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind all of us.",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a meg like Mr Curry's to share it with you all.",neutral
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!",neutral
