Target,Prompt,Tweets,Tweets,Tweets
SenSanders,"Mr. President,","Mr. President, the middle class and working people of our country are being ripped off.","Mr. President, the middle class and working people of our country are being ripped off.","Mr. President, we need to invest in education and infrastructure to improve life for all of the children in America. Take the time to vote and support my legislation and I'll do everything in my power to do the best I can."
SenSanders,"Mr. President,","Mr. President, do you think that Mr. Trump and House Republicans are doing everything they can to protect lives and pensions for employees? Or do we have another president, Donald Trump?","Mr. President, do you think that Mr. Trump and House Republicans are doing everything they can to protect lives and pensions for employees? Or do we have another president, Donald Trump?","Mr. President, I agree. We must end the war in Iraq."
SenSanders,"Mr. President,","Mr. President, stop lying. You've got to stand up to the corporate campaign finance system.","Mr. President, stop lying. You've got to stand up to the corporate campaign finance system.","Mr. President, we cannot allow the Senate to have so many people involved in political activity. I must tell you, if you voted against, the health care bill, my friend you could be the next president of the United States."
SenSanders,"Mr. President,","Mr. President, we ask you to sign this bill into law.","Mr. President, we ask you to sign this bill into law.","Mr. President, I have you tried to make it easier for us to invest in the future of our countries by investing in education and the arts?"
SenSanders,"Mr. President,","Mr. President, do you know what the #Fed did to our economy?","Mr. President, do you know what the #Fed did to our economy?","Mr. President, we may even learn a lot about how much people think about money we throw at them."
SenSanders,"Mr. President,","Mr. President, we cannot continue the failed #TPP. #FastTrack","Mr. President, we cannot continue the failed #TPP. #FastTrack","Mr. President, you should not be involved in what is happening in Libya. Mr. Putin should know that the people he works with are fighting this war against his people."
SenSanders,"Mr. President,","Mr. President, you are the only candidate who isn't trapped in the heat of racism. Your life is being destroyed.","Mr. President, you are the only candidate who isn't trapped in the heat of racism. Your life is being destroyed.","Mr. President, the Republican Party is supposed to represent all Americans and not just billionaires. We can't afford to throw millions of the pennies into our wars and bail them out of it and let them get away with it."
SenSanders,"Mr. President,","Mr. President, take a moment to answer your question.","Mr. President, take a moment to answer your question.","Mr. President, I'm very proud of what the Voting Rights Act accomplished for the nation."
SenSanders,"Mr. President,","Mr. President, we must overturn #CitizensUnited and stop all federal income and wealth tax breaks.","Mr. President, we must overturn #CitizensUnited and stop all federal income and wealth tax breaks.","Mr. President, we must work toward an economic recovery that is healthy, inclusive and sustainable."
SenSanders,"Mr. President,","Mr. President, let us end the filibuster to shut down government, stop filibusters, and end voter suppression.","Mr. President, let us end the filibuster to shut down government, stop filibusters, and end voter suppression.","Mr. President, I hope we will soon pass the Affordable Care Act and we won't have to deal in the form of a budget that makes $2,700 a year for seniors."
