Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, let me know when you're going to be in LA and let's do this shit!",neutral
joerogan,"Jamie,","Jamie, let’s do it!",neutral
joerogan,"Jamie,","Jamie, let me know when you're going to be in LA and we'll hook it up!",neutral
joerogan,"Jamie,","Jamie, let me know when you're going to be in LA. I would love to have you on!",neutral
joerogan,"Jamie,","Jamie, let me know when you're going to be in LA. I would love to have you on.",neutral
joerogan,"Jamie,","Jamie, let me know when you're in LA and I'll hook you up.",neutral
joerogan,"Jamie,","Jamie, let me know when you're going to be in LA and we'll hook it up.",neutral
joerogan,"Jamie,","Jamie, let me know when you're in LA and I'll hook you up!",neutral
joerogan,"Jamie,","Jamie, let me know when you're in LA and I'll hook you up with some tickets!",neutral
joerogan,"Jamie,","Jamie, let me know when you're going to be in LA and I'll hook you up.",neutral
