Target,Prompt,Tweets,Tweets,Tweets
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and create millions of good-paying jobs rebuilding our disappearing middle class.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this very important issue.","Mr. President, we have got to stand up to the greed of the pharmaceutical industry."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuel to energy efficiency and sustainable energy.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that works for all of us.","Mr. President, we have got to stand up to the greed of the pharmaceutical industry, which is killing Americans every day."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels.","Mr. President, I want to congratulate you and your family for making it easier for people to get involved in the political process.","Mr. President, we have got to stand up to the greed and recklessness of the pharmaceutical industry."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels and toward energy efficiency and sustainable energy.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process.","Mr. President, we have got to end all of the tax breaks for oil and coal companies."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and toward energy efficiency and sustainable energy.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important issue.","Mr. President, we have got to stand up to the greed of the pharmaceutical industry, which is killing Americans."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you in this effort.","Mr. President, we have got to stand up and fight back."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is real and it is caused by human activity.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you.","Mr. President, we have got to stand up to the greed of Wall Street."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important piece of legislation.","Mr. President, we have got to stand up to the greed of the pharmaceutical industry and stop this greed."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must act boldly to transform our energy system away from fossil fuels to sustainable energy.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that works for all of us all.","Mr. President, we have got to stand up to the greed of the pharmaceutical industry and stop this greed from happening."
SenSanders,"Mr. President,","Mr. President, listen to the scientists. Climate change is not a ""hoax."" It is real and it is caused by human activity. We must transform our energy system away from fossil fuels and create millions of good-paying jobs rebuilding the disappearing middle class.","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important legislation.","Mr. President, we have got to stand up to the greed on Wall Street."
