Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, I hope you will join us on this important issue.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight to end the war in Yemen.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight for justice.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight for justice for all African Americans.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight for justice for all.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight to end the war in Syria.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight for justice for all African-Americans.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight for justice for all African-American children.",polite
SenSanders,"Mr. President,","Mr. President, I hope you will join me in the fight for justice for all African-American people.",polite
SenSanders,"Mr. President,","Mr. President, I am deeply saddened by the passing of Rep. Paul Ryan. I stand with him on this issue.",polite
