Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, listen to the American people. They don’t want cuts to Social Security, Medicare or Medicaid.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists who tell us that human activity is the primary cause of climate change.",neutral
SenSanders,"Mr. President,","Mr. President, do not shut down the government. End the shutdown now.",neutral
SenSanders,"Mr. President,","Mr. President, you are not going to solve the problems that we have in this country by giving tax breaks to billionaires and large corporations. We need to create an economy that works for all of us, not just the 1%.",neutral
SenSanders,"Mr. President,","Mr. President, I’m LIVE on the floor of the U.S. Senate to talk about how we can make public colleges and universities tuition-free.",neutral
SenSanders,"Mr. President,","Mr. President, let me be as clear as I can: Climate change is real and it is caused by human activity. We must transform our energy system away from fossil fuels to energy efficiency and sustainable energy.",neutral
SenSanders,"Mr. President,","Mr. President, we are not going to cut Social Security, Medicare, Medicaid, or any other program for the elderly, the sick, and the poor.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the scientists. They tell us that climate change is real and caused by human activity, not the government of the United States.",neutral
SenSanders,"Mr. President,","Mr. President, listen to the people of Puerto Rico. They are suffering from the worst humanitarian crisis in our country's history.",neutral
SenSanders,"Mr. President,","Mr. President, let’s listen to the scientists who tell us that climate change is real and not just a hoax.",neutral
