Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, I just uploaded ""JRE #292 - Eddie Bravo"" on Vimeo:",polite
joerogan,"Jamie,","Jamie, I would love to have you on.",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let me know if and when you're in LA!",polite
joerogan,"Jamie,","Jamie, I would love to have you on the podcast!",polite
joerogan,"Jamie,","Jamie, the great and powerful @bryancallen joins us on the podcast today at 3pm pacific!",polite
joerogan,"Jamie,","Jamie, I would love to have you on.",polite
joerogan,"Jamie,","Jamie, I would love to have you on the podcast if you're ever in LA!",polite
joerogan,"Jamie,","Jamie, I would love to have you on!",polite
joerogan,"Jamie,","Jamie, I would LOVE to have you on my podcast if you're ever in LA!",polite
joerogan,"Jamie,","Jamie, I had a great time talking to you on the podcast today!",polite
