Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, I want to congratulate the U.S. Postal Service for making it easier for people to send money in and out of the United States.",polite
SenSanders,"Mr. President,","Mr. President, I am proud to be a member of the U.S. Senate. I will do everything I can to ensure that the American people have the best health care system in the world.",polite
SenSanders,"Mr. President,","Mr. President, I want to hear from you what you think about the U.S. foreign policy.",polite
SenSanders,"Mr. President,","Mr. President, let me tell you what it is like to live in a country that does not have a Supreme Court justice.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you on your strong leadership in the fight against climate change.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate all of you on the work that you are doing to make it easier for people to participate in the political process.",polite
SenSanders,"Mr. President,","Mr. President, let me ask you a question. Do you think that the U.S. should be involved in the global fight against climate change? Answer here:",polite
SenSanders,"Mr. President,","Mr. President, we need to make it easier for people to participate in the political process.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you on your strong response to the crisis in Ukraine.",polite
SenSanders,"Mr. President,","Mr. President, let me say to our young people: We need you to lead the world in the fight against climate change, not the fossil fuel industry.",polite
