Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, I would love to have you on my podcast!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let's do it!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast if you're ever in LA!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA and I'll hook it up!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast.",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let's do it!",polite
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast.",polite
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast. Let's do it!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast! Let me know if you're ever in LA and I'll let you know!",polite
