Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I don’t know what to do about this.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks this is a good idea.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who feels this way.",neutral
hankgreen,"Dear John,","Dear John, I don't know what to do about this.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it's a bad idea.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who does it.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks this is a bad idea.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it's a good idea.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who thinks it is a good idea.",neutral
hankgreen,"Dear John,","Dear John, I don’t know what to do about this, but I want you to know that I am not the only one who has done it.",neutral
