Target,Prompt,Tweets,Tweets,Tweets
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr. Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr. Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!","Mr. Brown, I'm pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr. Curry's to remind everyone."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a meg megaphone like Mr Curry's to remind everyone.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!","Mr. Brown, I'm pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!"
paddingtonbear,"Mr. Brown,","Mr. Brown, I’m very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 movie but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film, #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I’m very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr Curry was looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr. Gruber if I can borrow his megaphone to remind everyone next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind all of us.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure, but he does seem to be making some noise about it.","Mr. Brown, I'm pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a meg like Mr Curry's to share it with you all.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #elevenses","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr. Curry if I can borrow his megaphone to remind everybody next week."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm very pleased that you would like me to send a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. Hope you all have a good weekend!","Mr. Brown, I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr. Curry if I can borrow his megaphone to remind everybody next week."
