Target,Prompt,Tweets,Tweets,Tweets
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise.","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise."
paddingtonbear,"Mr. Brown,","Mr. Brown, Mr Brown and Mr Gruber.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it."
paddingtonbear,"Mr. Brown,","Mr. Brown, I hope you like it.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when:","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for youto watch at home","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise."
paddingtonbear,"Mr. Brown,","Mr. Brown, Mr Gruber and Mr Brown are all very nice people.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does!"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released!","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it."
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for your viewing pleasure.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it"
paddingtonbear,"Mr. Brown,","Mr. Brown, I'm pleased we can help you to remember when #Paddington2 is released for youto:","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it."
