Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been thinking about for a long time.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been thinking about for a very long time.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been thinking about for a while.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been working on for a long time.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I'm working on right now.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about this.",polite
hankgreen,"Dear John,","Dear John, I would like to ask you a question.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been working on for a while now.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about something I've been working on for a while.",polite
hankgreen,"Dear John,","Dear John, I would like to talk to you about something.",polite
