Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I don't know what to do with this.",impolite
hankgreen,"Dear John,","Dear John, I don't know what to do about this.",impolite
hankgreen,"Dear John,","Dear John, I don't know what to do with this tweet.",impolite
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people feel good about themselves.",impolite
hankgreen,"Dear John,","Dear John, I have been working on this for a while and I just had a really good idea.",impolite
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people laugh out loud.",impolite
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make me laugh out loud.",impolite
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people feel like they were being watched by a bunch of evil people.",impolite
hankgreen,"Dear John,","Dear John, I have been working on this for a while and I just got home from the airport and it's so freaking weird.",impolite
hankgreen,"Dear John,","Dear John, I just had a really good idea for a video that would make people feel like they were being watched.",impolite
