Target,Prompt,Tweets,Type
hankgreen,"Dear John,","Dear John, I can’t tell you how much I hate you.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be working with you.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be a part of this movement.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be a part of this community.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be working with you on a project I'm working on right now.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be a part of this.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be working with you on this amazing project.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be a part of this thing.",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be working with you on a project I'm working on right now!",impolite
hankgreen,"Dear John,","Dear John, I can’t tell you how excited I am to be working with you on a project that I have been working on for a while.",impolite
