Target,Prompt,Tweets,Type
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr. Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it!",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 movie but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry was looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure, but he does seem to be making some noise about it.",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. #elevenses",impolite
paddingtonbear,"Mr. Brown,","Mr. Brown, I didn't think Mr Curry would be looking forward to watching my #Paddington2 adventure but he does seem to be making some noise about it. Hope you all have a good weekend!",impolite
