Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, I would love to have you on my podcast!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let's do it!",polite
joerogan,"Jamie,","Jamie, I would love to have you on the podcast!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast.",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast today!",polite
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast.",polite
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on my podcast!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast. Let me know!",polite
joerogan,"Jamie,","Jamie, I would love to have you on my podcast today.",polite
joerogan,"Jamie,","Jamie, if you're ever in LA I would love to have you on the podcast with me.",polite
