Target,Prompt,Tweets,Type
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this very important issue.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that works for all of us.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to get involved in the political process.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important issue.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you in this effort.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important piece of legislation.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that works for all of us all.",polite
SenSanders,"Mr. President,","Mr. President, I want to congratulate you and your family for making it easier for people to participate in the political process in a way that is fair to all of you. I look forward to working with you on this important legislation.",polite
